11100||48375|Potter County, TX|County or equivalent|121073|121073|121448|122285|375|837|323|1136|559|2248|236|1112|55|-303|90|331|-35|-634|-3|4
11100||48381|Randall County, TX|County or equivalent|120725|120725|121233|123351|508|2118|178|653|393|1566|215|913|323|1448|26|97|297|1351|7|17
11180|||Ames, IA|Metropolitan Statistical Area|89542|89542|89567|89663|25|96|115|482|236|948|121|466|-95|-394|91|370|-186|-764|5|8
11180||19169|Story County, IA|County or equivalent|89542|89542|89567|89663|25|96|115|482|236|948|121|466|-95|-394|91|370|-186|-764|5|8
11260|||Anchorage, AK|Metropolitan Statistical Area|380821|380821|383128|387516|2307|4388|1078|4123|1461|5875|383|1752|1201|252|331|652|870|-400|28|13
11260||2020|Anchorage Municipality, AK|County or equivalent|291826|291826|293356|295570|1530|2214|844|3219|1128|4574|284|1355|674|-1003|314|576|360|-1579|12|-2
11260||2170|Matanuska-Susitna Borough, AK|County or equivalent|88995|88995|89772|91946|777|2174|234|904|333|1301|99|397|527|1255|17|76|510|1179|16|15
11300|||Anderson, IN|Metropolitan Statistical Area|131636|131636|131652|131235|16|-417|68|209|400|1591|332|1382|-48|-629|6|26|-54|-655|-4|3
11300||18095|Madison County, IN|County or equivalent|131636|131636|131652|131235|16|-417|68|209|400|1591|332|1382|-48|-629|6|26|-54|-655|-4|3
11340|||Anderson, SC|Metropolitan Statistical Area|187126|187122|187282|188488|160|1206|72|361|561|2246|489|1885|96|845|42|140|54|705|-8|0
11340||45007|Anderson County, SC|County or equivalent|187126|187122|187282|188488|160|1206|72|361|561|2246|489|1885|96|845|42|140|54|705|-8|0
11460|||Ann Arbor, MI|Metropolitan Statistical Area|344791|344791|345250|347962|459|2712|480|1723|953|3696|473|1973|-29|1004|361|1205|-390|-201|8|-15
11460||26161|Washtenaw County, MI|County or equivalent|344791|344791|345250|347962|459|2712|480|1723|953|3696|473|1973|-29|1004|361|1205|-390|-201|8|-15
11500|||Anniston-Oxford, AL|Metropolitan Statistical Area|118572|118572|118426|117797|-146|-629|-17|41|324|1385|341|1344|-127|-670|15|57|-142|-727|-2|0
