40|1|3|6|Alabama|2171853|2171852|2173898|2182088
40|2|4|9|Alaska|306967|306967|307815|311201
40|4|4|8|Arizona|2844526|2844524|2848487|2864335
40|5|3|7|Arkansas|1316299|1316300|1317915|1324369
40|6|4|9|California|13680081|13680081|13688154|13720462
40|8|4|8|Colorado|2212898|2212897|2215237|2224603
40|9|1|1|Connecticut|1487891|1487891|1489117|1494019
40|10|3|5|Delaware|405885|405885|406659|409757
40|11|3|5|District of Columbia|296719|296719|297156|298902
40|12|3|5|Florida|8989580|8989582|8997061|9026965
40|13|3|5|Georgia|4088801|4088804|4091640|4102992
40|15|4|9|Hawaii|519508|519508|520069|522305
40|16|4|8|Idaho|667796|667794|669114|674394
40|17|2|3|Illinois|5296715|5296715|5296832|5297318
40|18|2|3|Indiana|2795541|2795540|2796556|2800614
40|19|2|4|Iowa|1336417|1336415|1337237|1340529
40|20|2|4|Kansas|1233215|1233215|1234105|1237651
40|21|3|6|Kentucky|1927164|1927163|1928255|1932599
40|22|3|7|Louisiana|1964981|1964980|1967756|1978848
40|23|1|1|Maine|721830|721829|722579|725577
40|24|3|5|Maryland|2378814|2378814|2381320|2391350
40|25|1|1|Massachusetts|2808254|2808254|2810394|2818940
40|26|2|3|Michigan|4532233|4532232|4530882|4525480
40|27|2|4|Minnesota|2347201|2347201|2348568|2354034
40|28|3|6|Mississippi|1274719|1274720|1276119|1281711
40|29|2|4|Missouri|2712729|2712729|2714863|2723415
40|30|4|8|Montana|482825|482825|484093|489157
40|31|2|4|Nebraska|796793|796793|797673|801185
40|32|4|8|Nevada|1173814|1173815|1175827|1183873
40|33|1|1|New Hampshire|614754|614756|615344|617704
40|34|1|2|New Jersey|3553562|3553562|3555361|3562553
40|35|4|8|New Mexico|901388|901388|902734|908132
40|36|1|2|New York|8108103|8108105|8110354|8119364
40|37|3|5|North Carolina|4327528|4327525|4334566|4362740
40|38|2|4|North Dakota|317498|317498|318181|320909
40|39|2|3|Ohio|5127508|5127507|5128696|5133446
40|40|3|7|Oklahoma|1664378|1664379|1666443|1674685
40|41|4|9|Oregon|1675562|1675562|1677289|1684193
40|42|1|2|Pennsylvania|5567315|5567315|5569709|5579275
40|44|1|1|Rhode Island|463388|463388|463656|464728
40|45|3|5|South Carolina|2137683|2137683|2141551|2157033
40|46|2|4|South Dakota|363438|363438|364052|366540
40|47|3|6|Tennessee|2812133|2812134|2815511|2829025
40|48|3|7|Texas|9977436|9977437|10001712|10098750
40|49|4|8|Utah|979709|979709|982382|993060
40|50|1|1|Vermont|322539|322538|322907|324389
40|51|3|5|Virginia|3364939|3364937|3369482|3387654
40|53|4|9|Washington|2885677|2885677|2890038|2907490
40|54|3|5|West Virginia|881917|881922|881888|881752
40|55|2|3|Wisconsin|2624358|2624358|2626443|2634781
40|56|4|8|Wyoming|261868|261868|262602|265528
