50|11|Añasco Municipio|1|29261|14229|15032|1651|862|789|3467|1788|1679|1881|969|912|2707|1378|1329|23201|11090|12111|22262|10610|11652|11881|5871|6010|7797|3783|4014|7506|3490|4016|4252|1959|2293|387|157|230|38.171728972|36.418918919|39.605150215
50|11|Añasco Municipio|2|29261|14229|15032|1651|862|789|3467|1788|1679|1881|969|912|2707|1378|1329|23201|11090|12111|22262|10610|11652|11881|5871|6010|7797|3783|4014|7506|3490|4016|4252|1959|2293|387|157|230|38.171728972|36.418918919|39.605150215
50|11|Añasco Municipio|3|29274|14235|15039|1637|844|793|3455|1787|1668|1858|961|897|2736|1394|1342|23247|11118|12129|22324|10643|11681|11881|5877|6004|7769|3771|3998|7519|3495|4024|4300|1983|2317|389|160|229|38.275609756|36.54076087|39.736956522
50|11|Añasco Municipio|4|29281|14231|15050|1586|778|808|3414|1788|1626|1784|931|853|2837|1451|1386|23389|11203|12186|22497|10734|11763|11848|5881|5967|7641|3713|3928|7543|3502|4041|4476|2068|2408|405|173|232|38.648305085|36.917613636|40.191304348
50|13|Arecibo Municipio|1|96440|46393|50047|5297|2700|2597|11138|5762|5376|5741|2938|2803|9252|4757|4495|77204|36514|40690|74264|34993|39271|38780|19176|19604|25194|12204|12990|24091|11124|12967|15727|6908|8819|1770|735|1035|38.636434109|36.723801066|40.30945758
50|13|Arecibo Municipio|2|96440|46393|50047|5297|2700|2597|11138|5762|5376|5741|2938|2803|9252|4757|4495|77204|36514|40690|74264|34993|39271|38780|19176|19604|25194|12204|12990|24091|11124|12967|15727|6908|8819|1770|735|1035|38.636434109|36.723801066|40.30945758
50|13|Arecibo Municipio|3|96311|46329|49982|5270|2684|2586|11063|5721|5342|5707|2931|2776|9311|4789|4522|77184|36496|40688|74271|34993|39278|38660|19118|19542|25040|12125|12915|24048|11110|12938|15872|6969|8903|1790|740|1050|38.729655712|36.801204819|40.41325811
50|13|Arecibo Municipio|4|95816|46074|49742|5146|2617|2529|10730|5548|5182|5550|2866|2684|9514|4905|4609|77197|36474|40723|74390|35043|39347|38232|18914|19318|24522|11857|12665|23935|11078|12857|16419|7203|9216|1874|764|1110|39.161671924|37.174825175|40.887573964
50|15|Arroyo Municipio|1|19575|9231|10344|1369|696|673|2610|1330|1280|1274|628|646|1884|955|929|14976|6889|8087|14322|6577|7745|8003|3767|4236|5138|2323|2815|4656|2110|2546|2644|1189|1455|283|101|182|35.081589958|33.414383562|36.524691358
50|15|Arroyo Municipio|2|19575|9231|10344|1369|696|673|2610|1330|1280|1274|628|646|1884|955|929|14976|6889|8087|14322|6577|7745|8003|3767|4236|5138|2323|2815|4656|2110|2546|2644|1189|1455|283|101|182|35.081589958|33.414383562|36.524691358
50|15|Arroyo Municipio|3|19582|9231|10351|1357|691|666|2600|1325|1275|1268|624|644|1884|951|933|15009|6906|8103|14357|6591|7766|7998|3762|4236|5145|2329|2816|4654|2106|2548|2674|1205|1469|282|100|182|35.219008264|33.581632653|36.65483871
50|15|Arroyo Municipio|4|19594|9215|10379|1315|671|644|2565|1309|1256|1240|607|633|1910|951|959|15107|6947|8160|14474|6628|7846|7990|3745|4245|5152|2335|2817|4621|2075|2546|2791|1267|1524|281|98|183|35.635687732|34.106164384|37.119354839
50|17|Barceloneta Municipio|1|24816|11937|12879|1547|778|769|3260|1703|1557|1513|739|774|2325|1178|1147|19265|9084|10181|18496|8717|9779|10482|5009|5473|7016|3290|3726|5670|2655|3015|3485|1594|1891|387|157|230|35.488636364|34.385294118|36.566091954
50|17|Barceloneta Municipio|2|24816|11937|12879|1547|778|769|3260|1703|1557|1513|739|774|2325|1178|1147|19265|9084|10181|18496|8717|9779|10482|5009|5473|7016|3290|3726|5670|2655|3015|3485|1594|1891|387|157|230|35.488636364|34.385294118|36.566091954
50|17|Barceloneta Municipio|3|24861|11952|12909|1534|773|761|3250|1695|1555|1512|741|771|2341|1180|1161|19334|9108|10226|18565|8743|9822|10487|5011|5476|7006|3287|3719|5693|2664|3029|3525|1612|1913|388|156|232|35.609859155|34.50877193|36.677142857
50|17|Barceloneta Municipio|4|25013|11989|13024|1498|760|738|3206|1660|1546|1499|748|751|2436|1203|1233|19572|9182|10390|18810|8821|9989|10520|5028|5492|6952|3269|3683|5735|2666|3069|3687|1683|2004|400|157|243|35.961126005|34.822674419|37.028571429
50|19|Barranquitas Municipio|1|30318|14942|15376|2054|1023|1031|4093|2128|1965|2210|1124|1086|3735|1934|1801|23125|11230|11895|21961|10667|11294|13103|6498|6605|7691|3739|3952|7280|3540|3740|3255|1454|1801|378|144|234|32.230971129|30.768115942|33.764367816
50|19|Barranquitas Municipio|2|30318|14942|15376|2054|1023|1031|4093|2128|1965|2210|1124|1086|3735|1934|1801|23125|11230|11895|21961|10667|11294|13103|6498|6605|7691|3739|3952|7280|3540|3740|3255|1454|1801|378|144|234|32.230971129|30.768115942|33.764367816
50|19|Barranquitas Municipio|3|30344|14958|15386|2051|1019|1032|4045|2104|1941|2205|1123|1082|3741|1939|1802|23188|11267|11921|22043|10712|11331|13094|6510|6584|7691|3746|3945|7317|3556|3761|3294|1471|1823|379|144|235|32.381443299|30.911330049|33.895027624
